Date,Open,High,Low,Close,Adj Close,Volume
2005-11-11,123.410004,123.849998,123.330002,123.820000,88.099442,988200
2005-11-14,123.699997,124.019997,123.430000,123.809998,88.092316,536200
2005-11-15,123.650002,124.129997,122.940002,123.220001,87.672501,910500
2005-11-16,123.519997,123.559998,123.000000,123.559998,87.914413,2450800
2005-11-17,123.739998,124.650002,123.620003,124.500000,88.583252,842800
2005-11-18,125.029999,125.279999,124.379997,125.029999,88.960365,664000
2005-11-21,125.209999,125.930000,125.029999,125.849998,89.543808,471500
2005-11-22,125.570000,126.529999,125.459999,126.300003,89.863983,684800
2005-11-23,126.330002,127.430000,126.300003,127.029999,90.383369,494100
2005-11-25,127.199997,127.230003,126.900002,127.120003,90.447441,244300
2005-11-28,127.300003,127.300003,126.099998,126.300003,89.863983,591100
2005-11-29,126.669998,126.980003,126.139999,126.230003,89.814194,699500
2005-11-30,126.190002,126.529999,125.330002,125.370003,89.202255,1092400
2005-12-01,126.070000,127.029999,126.070000,126.750000,90.184166,730300
2005-12-02,126.790001,127.089996,126.550003,126.949997,90.326462,1623800
2005-12-05,126.720001,126.800003,126.209999,126.559998,90.048973,3200500
2005-12-06,127.129997,127.750000,126.699997,126.820000,90.233971,1784500
2005-12-07,126.849998,126.900002,125.730003,126.209999,89.799927,998100
2005-12-08,126.269997,126.800003,125.550003,125.980003,89.636276,1583400
2005-12-09,126.150002,126.790001,125.849998,126.269997,89.842636,932000
2005-12-12,126.809998,126.860001,125.949997,126.550003,90.041870,2868200
2005-12-13,126.459999,127.690002,126.320000,127.349998,90.611069,2499400
2005-12-14,127.230003,128.110001,127.230003,127.919998,91.016624,2477400
2005-12-15,127.760002,127.989998,127.220001,127.430000,90.668007,1347300
2005-12-16,127.910004,128.000000,127.110001,127.110001,90.440300,1443300
2005-12-19,127.459999,127.529999,126.379997,126.379997,89.920898,836100
2005-12-20,126.570000,126.879997,126.209999,126.570000,90.056076,938100
2005-12-21,126.910004,127.470001,126.510002,126.790001,90.212624,947200
2005-12-22,127.050003,127.379997,126.809998,127.349998,90.611069,848000
2005-12-23,127.029999,127.059998,126.620003,126.949997,90.692513,649800
2005-12-27,127.180000,127.230003,125.599998,125.599998,89.728073,1457700
2005-12-28,125.919998,126.139999,125.690002,125.900002,89.942375,1070800
2005-12-29,125.940002,126.169998,125.290001,125.300003,89.513748,1230400
2005-12-30,124.980003,125.269997,124.639999,124.669998,89.063683,1269000
2006-01-03,125.410004,127.150002,124.620003,126.830002,90.606781,4768100
2006-01-04,127.010002,127.660004,126.879997,127.489998,91.078285,1156500
2006-01-05,127.430000,127.760002,127.099998,127.589996,91.149712,1278600
2006-01-06,128.240005,128.740005,127.650002,128.649994,91.906998,824200
2006-01-09,128.619995,129.210007,128.559998,128.979996,92.142723,1341300
2006-01-10,128.589996,129.149994,128.479996,129.149994,92.264160,1061600
2006-01-11,129.210007,129.630005,128.910004,129.539993,92.542778,1274900
2006-01-12,129.320007,129.440002,128.619995,128.940002,92.114197,923700
2006-01-13,128.759995,129.080002,128.399994,128.800003,92.014137,710600
2006-01-17,128.419998,128.570007,128.000000,128.500000,91.799828,820800
2006-01-18,127.739998,128.389999,127.339996,128.000000,91.442627,578300
2006-01-19,128.270004,128.960007,128.029999,128.550003,91.835518,969700
2006-01-20,128.529999,128.529999,126.209999,126.209999,90.163841,809700
2006-01-23,126.440002,127.000000,126.339996,126.650002,90.478188,1761800
2006-01-24,126.849998,127.349998,126.620003,126.769997,90.563889,1711700
2006-01-25,127.199997,127.379997,126.029999,126.849998,90.621078,841100
2006-01-26,127.519997,127.830002,126.980003,127.599998,91.156860,1632500
2006-01-27,127.849998,128.820007,127.650002,128.750000,91.978424,971600
2006-01-30,128.750000,128.960007,128.539993,128.630005,91.892708,1791600
2006-01-31,128.500000,128.690002,127.750000,127.750000,91.264008,1225700
2006-02-01,127.949997,128.649994,127.930000,128.649994,91.906998,1964500
2006-02-02,128.330002,128.350006,127.029999,127.150002,90.835396,1413700
2006-02-03,126.870003,127.290001,126.349998,126.480003,90.356750,879100
2006-02-06,126.669998,126.940002,126.400002,126.779999,90.571068,1045500
2006-02-07,126.570000,126.779999,125.400002,125.400002,89.585197,2256400
2006-02-08,126.019997,126.930000,125.790001,126.809998,90.592491,556700
2006-02-09,127.059998,127.699997,126.570000,126.599998,90.442482,400300
2006-02-10,126.620003,127.269997,125.750000,126.870003,90.635353,1544300
2006-02-13,126.720001,126.910004,126.110001,126.620003,90.456741,2430300
2006-02-14,126.629997,128.149994,126.400002,127.879997,91.356880,1732300
